ID;Время создания;На каком курсе Вы обучаетесь:;На каком направлении Вы обучаетесь:;Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / приемлемая, доступная стоимость обучения в УУНиТ;Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / репутация факультета (известность, престиж, бренд, рейтинг);Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / наличие на факультете необходимого для меня направления подготовки (специальности);Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / наличие бюджетных мест;Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / высокое качество обучения (уровень подготовки, квалификация преподавателей);Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / опыт обучения на ФРГФ на предыдущем уровне образования;Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / выбор был скорее случайным;Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / не поступил туда, куда хотел;Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / опыт обучения в вузе знакомых, родственников и / или рекомендации учителей;Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / практические соображения (близко от дома, доступная аренда жилья);Какие основные причины повлияли на Ваш выбор поступления на ФРГФ УУНиТ: / другое:;Другое:;Если бы случилось так, что мне пришлось выбирать профессию, то я бы снова выбрал специальность, по которой обучаюсь.;Моё отношение к будущей профессии за время обучения на ФРГФ изменилось в лучшую сторону.;У меня есть желание работать по полученной на ФРГФ специальности после окончания вуза.;Если бы случилось так, что мне снова пришлось выбирать вуз, то я выбрал(а) бы ФРГФ снова.;Какова вероятность того, что Вы порекомендуете обучение на ФРГФ своим друзьям / знакомым / родственникам? / Ответ;Какой ПЕРВЫЙ (основной) иностранный язык Вы изучаете на ФРГФ?;Оцените, пожалуйста, Ваш уровень владения ПЕРВЫМ (основным) языком: / 1) на момент поступления;Оцените, пожалуйста, Ваш уровень владения ПЕРВЫМ (основным) языком: / 2) в настоящее время;Какой ВТОРОЙ иностранный язык Вы изучаете на ФРГФ?;Выше Вы рассказывали нам про свой уровень владения английским языком. Оцените, пожалуйста, Ваш уровень владения ВТОРЫМ иностранным языком: / 1) на момент поступления;Выше Вы рассказывали нам про свой уровень владения английским языком. Оцените, пожалуйста, Ваш уровень владения ВТОРЫМ иностранным языком: / 2) в настоящее время;Какой ТРЕТИЙ иностранный язык Вы изучаете на ФРГФ?;Выше Вы рассказывали нам про свой уровень владения английским языком. Оцените, пожалуйста, Ваш уровень владения ТРЕТЬИМ иностранным языком: / 1) на момент поступления;Выше Вы рассказывали нам про свой уровень владения английским языком. Оцените, пожалуйста, Ваш уровень владения ТРЕТЬИМ иностранным языком: / 2) в настоящее время;Приходилось ли Вам за время обучения на ФРГФ пользоваться дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки? Если да, то где именно?;Другое:;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / освоение программы дополнительного профессионального образования в УУНиТ;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / освоение программы дополнительного профессионального образования в другой организации;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / освоение программы 3-го иностранного языка в УУНиТ;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / освоение программы 3-го иностранного языка в другой организации;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / онлайн-занятия на языковых курсах / школе в другой организации;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / занятия с репетитором из числа преподавателей ФРГФ;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / занятия с репетитором из числа сторонних преподавателей;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / занятия с носителем изучаемого иностранного языка;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / подготовка к сдаче экзамена на сертификат, подтверждающий уровень знания иностранного языка;Если Вы пользовались дополнительными платными услугами по совершенствованию Вашей лингвистической подготовки, уточните, какие именно? / другое:;Другое:;Оцените, пожалуйста, насколько значимо для Вас изучать: / общеобразовательные дисциплины (история, философия, психология и др.);Оцените, пожалуйста, насколько значимо для Вас изучать: / учебные дисциплины лингвистического профиля;Насколько вы В ЦЕЛОМ удовлетворены качеством обучения на ФРГФ в настоящее время? / Ответ;УЧЕБНАЯ СФЕРА / качеством обучения по направлению подготовки (специальности);УЧЕБНАЯ СФЕРА / организацией сессии (сроки, расписание);УЧЕБНАЯ СФЕРА / организацией прохождения практики (место);УЧЕБНАЯ СФЕРА / качеством преподавания 1-го иностранного языка;УЧЕБНАЯ СФЕРА / качеством преподавания 2-го, 3-го иностранного языка;УЧЕБНАЯ СФЕРА / помощью выпускающей кафедры, факультета, университета в трудоустройстве;УЧЕБНАЯ СФЕРА / уровнем научного руководства курсовыми / выпускными квалификационными работами;УЧЕБНАЯ СФЕРА / качеством платных дополнительных образовательных услуг (ППК, 3 ИЯ и др.);Если в предыдущем вопросе вы поставили низкие оценки, просим перечислить замечания и предложения, которые позволят улучшить ситуацию:;СОЦИАЛЬНО-КОММУНИКАТИВНАЯ СФЕРА / качеством работы деканата;СОЦИАЛЬНО-КОММУНИКАТИВНАЯ СФЕРА / качеством работы кафедры;СОЦИАЛЬНО-КОММУНИКАТИВНАЯ СФЕРА / взаимоотношениями с преподавателями;СОЦИАЛЬНО-КОММУНИКАТИВНАЯ СФЕРА / взаимоотношениями с сотрудниками деканата факультета;СОЦИАЛЬНО-КОММУНИКАТИВНАЯ СФЕРА / взаимоотношениями с одногруппниками / однокурсниками;СОЦИАЛЬНО-КОММУНИКАТИВНАЯ СФЕРА / работой библиотек и информационно-библиотечной системы;СОЦИАЛЬНО-КОММУНИКАТИВНАЯ СФЕРА / доступностью интернета в корпусах УУНиТ;Если в предыдущем вопросе вы поставили низкие оценки, просим перечислить замечания и предложения, которые позволят улучшить ситуацию:;ИНФРАСТРУКТУРНАЯ СФЕРА / состоянием туалетных комнат;ИНФРАСТРУКТУРНАЯ СФЕРА / оборудованием аудиторий для занятий;ИНФРАСТРУКТУРНАЯ СФЕРА / организацией питания (временем работы, обслуживания, ценами, качеством);Оцените, насколько Вы удовлетворены условиями проживания в общежитии: / Ответ;Если в предыдущих вопросах вы поставили низкие оценки, просим перечислить замечания и предложения, которые позволят улучшить ситуацию:;ДОСУГОВАЯ СФЕРА / организацией культурно-досуговых мероприятий на УУНиТ;ДОСУГОВАЯ СФЕРА / организацией спортивных мероприятий на УУНиТ;ДОСУГОВАЯ СФЕРА / работой органов студенческого самоуправления;Если в предыдущем вопросе вы поставили низкие оценки, просим перечислить замечания и предложения, которые позволят улучшить ситуацию:;За время обучения в УУНиТ часть обучения проходила на площадках дистанционного обучения (СДО, moodle, личный кабинет). / Оцените качество представленных курсов и то, как работа на этих ресурсах была организована:;Если в предыдущем вопросе вы поставили низкую оценку, просим перечислить замечания и предложения, которые позволят улучшить ситуацию:;Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / работать за рубежом;Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / продолжить обучение за рубежом;Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / продолжить образование на ФРГФ (магистратура, аспирантура);Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / продолжить образование на другом факультете УУНиТ (магистратура, аспирантура);Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / продолжить образование в другом вузе РФ (магистратура, аспирантура, 2-е высшее);Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / основать своё дело (бизнес);Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / посвятить себя дому, семье;Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / заниматься научно-исследовательской деятельностью;Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / заниматься преподавательской деятельностью;Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / работать в государственных учреждениях / организациях;Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / работать в коммерческих учреждениях / организациях;Поделитесь, пожалуйста, своими планами на будущее. Чем бы Вы хотели заниматься после окончания вуза? Выберите не более 3-х вариантов. / другое:;Другое:;Имеете ли Вы опыт работы / подработки во внеучебное время (за время обучения на ФРГФ)? / опыт работы по специальности (по трудовому договору);Имеете ли Вы опыт работы / подработки во внеучебное время (за время обучения на ФРГФ)? / опыт работы НЕ по специальности (по трудовому договору);Имеете ли Вы опыт работы / подработки во внеучебное время (за время обучения на ФРГФ)? / опыт работы по специальности (неофициально, без оформления);Имеете ли Вы опыт работы / подработки во внеучебное время (за время обучения на ФРГФ)? / опыт работы НЕ по специальности (неофициально, без оформления);Имеете ли Вы опыт работы / подработки во внеучебное время (за время обучения на ФРГФ)? / не имею опыта работы;Был ли связан опыт Вашей работы с использованием иностранных языков (ИЯ)? / устный и письменный перевод;Был ли связан опыт Вашей работы с использованием иностранных языков (ИЯ)? / преподавание ИЯ (в т.ч. репетиторство);Был ли связан опыт Вашей работы с использованием иностранных языков (ИЯ)? / деятельность, в которой ИЯ является дополнительной компетенцией;Был ли связан опыт Вашей работы с использованием иностранных языков (ИЯ)? / деятельность несвязанная с ИЯ;Был ли связан опыт Вашей работы с использованием иностранных языков (ИЯ)? / не имею опыта работы;Оцените теоретическую подготовку преподавателей и качество учебных материалов, которыми пользовались преподаватели. / Дайте ответ по шкале от 1 до 5, где 1 совершенно НЕ удовлетворен(а), а 5 - полностью удовлетворен(а);Есть ли у вас конкретное замечание по поводу теоретической подготовки преподавателя и качества используемых учебных материалов?;При выставлении баллов за семестр всегда ли было понятно, откуда берутся эти баллы и чем мотивированы оценки?;Другое:;За время обучения Вам приходилось контактировать с большим количеством профессорско-преподавательского состава. Укажите, пожалуйста, фамилии и инициалы тех преподавателей, педагогическое мастерство и личные качества которых оказали на Вас наибольшее положительное влияние в формировании Вашего интереса к учебе и/или будущей профессиональной деятельности:;Укажите, пожалуйста, фамилии и инициалы тех преподавателей ЛИНГВИСТИЧЕСКИХ ДИСЦИПЛИН (преподаватели ФРГФ и филологического факультета), чьей работой вы оказались недовольны и ПРИЧИНУ (низкая информативность, плохое раскрытие темы, мало теории, мало практики, плохая доступность изложения, плохая готовность к паре и прочее):;Укажите, пожалуйста, фамилии и инициалы тех преподавателей ОБЩЕОБРАЗОВАТЕЛЬНЫХ ДИСЦИПЛИН (преподаватели с других факультетов), чьей работой вы оказались недовольны и ПРИЧИНУ:;Многие студенты с переходом на старшие курсы сталкиваются с потерей интереса к образовательному процессу. Согласны ли вы, что возможность выбора на старших курсах трека / узкой специализации в рамках вашего направления подготовки позволила бы изменить ситуацию?;Другое:;Как часто в учебном процессе были задействованы электронно-библиотечные системы («Юрайт», «Университетская библиотека онлайн», «Лань»)?;Случалось ли, что в рамках разных дисциплин вам приходилось повторно изучать одну и ту же тему?;Если на предыдущий вопрос вы ответили утвердительно, просим перечислить подобные случаи:;На факультете романо-германской филологии имеется 4 компьютерных класса (ауд. 4, 10, 24, 37). Оцените, как часто за то время, когда вы занимались в компьютерных классах, вы действительно работали за компьютерами:;Ощущаете ли вы на факультете нехватку пространства, где студенты могли бы заниматься самостоятельной работой / готовиться к парам?;Чего вам не хватило в учебной программе? Какие, по вашему мнению, знания (умения, навыки) были даны (сформированы) недостаточно?;Есть ли такие современные направления в выбранной Вами сфере лингвистики, которых не оказалось в учебной программе, но которые Вы бы хотели изучать?;Произошло объединение ФРГФ, филфака, психфака, ФФС. Хотели бы Вы, чтобы в учебной программе появились дисциплины на стыке лингвистики и психологии, социологии, философии, политологии?;Другое:;При составлении данного опроса мы постарались учесть разные аспекты качества обучения. Если у Вас остались замечания, предложения и другие волнующие проблемы, не нашедшие отражения в нашей анкете, просим перечислить их ниже. Все они в обобщенном виде будут доведены до сведения руководства университета с целью принятия оптимальных управленческих решений:
1420670533;2023-06-23 10:27:16;1 курс бакалавриата / специалитета;Бак: Филология (английский язык и литература, китайский язык);приемлемая, доступная стоимость обучения в УУНиТ;;наличие на факультете необходимого для меня направления подготовки (специальности);;;;;;;практические соображения (близко от дома, доступная аренда жилья);;;да;да;да;затрудняюсь ответить;5;английский;B2 – пороговый продвинутый уровень (Vantage: Upper-Intermadiate);B2 – пороговый продвинутый уровень (Vantage: Upper-Intermadiate);китайский;отсутствовали навыки владения иностранным языком (нулевой уровень);A1 – уровень выживания (Survival level: Beginner and Elementary);третий язык не изучаю;;;другое:;курсы по китайскому на фргф;освоение программы дополнительного профессионального образования в УУНиТ;;;;;;;;;;;4;5;4;4;5;затрудняюсь ответить / не сталкивался;4;3;4;затрудняюсь ответить / не сталкивался;4;;5;5;5;5;5;4;2;;2;2;3;не проживаю;;не интересует;не интересует;не интересует;;5;;работать за рубежом;продолжить обучение за рубежом;;;;основать своё дело (бизнес);;;;;;;;;;опыт работы по специальности (неофициально, без оформления);;;;преподавание ИЯ (в т.ч. репетиторство);;;;4;;нет;;"войцех к.д 
самигуллина а.с
денисова л.а";затрудняюсь;затрудняюсь;согласен(на);;никогда;нет;;редко;да;"разговорной практики 
практики перевода";затрудняюсь ответить;да;;хотелось бы больше пространства для студентов,где они могут отдохнуть, а также место  для самостоятельной подготовки
1420507278;2023-06-23 06:04:46;1 курс бакалавриата / специалитета;Бак: Филология (английский язык и литература, китайский язык);;;;;;;;;;практические соображения (близко от дома, доступная аренда жилья);;;да;затрудняюсь ответить;да;да;8;английский;В1 – пороговый уровень (Threshold: Intermediate);В1 – пороговый уровень (Threshold: Intermediate);китайский;В1 – пороговый уровень (Threshold: Intermediate);В1 – пороговый уровень (Threshold: Intermediate);третий язык не изучаю;;;в другой образовательной организации, языковой школе;;;;;;;;занятия с репетитором из числа сторонних преподавателей;занятия с носителем изучаемого иностранного языка;;;;1;5;3;4;4;затрудняюсь ответить / не сталкивался;5;4;затрудняюсь ответить / не сталкивался;затрудняюсь ответить / не сталкивался;4;;3;3;4;4;4;4;4;;1;3;4;не проживаю;;3;не интересует;не интересует;;3;;;;;продолжить образование на другом факультете УУНиТ (магистратура, аспирантура);;;;;;;;;;;опыт работы НЕ по специальности (по трудовому договору);;;;;;деятельность, в которой ИЯ является дополнительной компетенцией;;;3;;нет;;Шамсутдинова Ю.Х;Нет;Нет;согласен(на);;часто;нет;;редко;да;Мало часов китайского;Нет;да;;
1420362170;2023-06-22 21:28:35;3 курс бакалавриата / специалитета;Бак: Филология (немецкий язык и литература, китайский язык);;;;;;;;не поступил туда, куда хотел;;;;;нет;нет;нет;нет;3;немецкий;отсутствовали навыки владения иностранным языком (нулевой уровень);A2 – предпороговый уровень (Waystage: Pre-Intermediate);китайский;отсутствовали навыки владения иностранным языком (нулевой уровень);В1 – пороговый уровень (Threshold: Intermediate);английский;В1 – пороговый уровень (Threshold: Intermediate);В1 – пороговый уровень (Threshold: Intermediate);с репетитором, в частном порядке;;;;;;;занятия с репетитором из числа преподавателей ФРГФ;;занятия с носителем изучаемого иностранного языка;;;;1;3;2;2;4;3;2;3;затрудняюсь ответить / не сталкивался;затрудняюсь ответить / не сталкивался;затрудняюсь ответить / не сталкивался;;3;2;3;2;5;1;1;;1;1;3;не проживаю;;не интересует;не интересует;не интересует;;4;;;;;;;;;;;;;другое:;Не знаю;;;опыт работы по специальности (неофициально, без оформления);опыт работы НЕ по специальности (неофициально, без оформления);;устный и письменный перевод;преподавание ИЯ (в т.ч. репетиторство);;;;3;;да;;Илида Флусовна, Анна Леонидовна;Не помню;Я их не помню;согласен(на);;редко;да;По пальцам не пересчитаешь;редко;да;Отбили желание изучать основной язык;-;нет;;Когда уже будут сидячие места в коридорах и WiFi?
1420354181;2023-06-22 21:17:22;3 курс бакалавриата / специалитета;Бак: Филология (немецкий язык и литература, китайский язык);приемлемая, доступная стоимость обучения в УУНиТ;;наличие на факультете необходимого для меня направления подготовки (специальности);;;;;;;;;;да;затрудняюсь ответить;да;затрудняюсь ответить;7;немецкий;отсутствовали навыки владения иностранным языком (нулевой уровень);В1 – пороговый уровень (Threshold: Intermediate);китайский;A2 – предпороговый уровень (Waystage: Pre-Intermediate);B2 – пороговый продвинутый уровень (Vantage: Upper-Intermadiate);английский;A2 – предпороговый уровень (Waystage: Pre-Intermediate);A2 – предпороговый уровень (Waystage: Pre-Intermediate);в другой образовательной организации, языковой школе;;освоение программы дополнительного профессионального образования в УУНиТ;;;;онлайн-занятия на языковых курсах / школе в другой организации;;;;;;;3;5;4;4;5;4;5;5;2;5;5;;5;5;5;5;5;4;1;;3;3;5;4;;не интересует;не интересует;не интересует;;4;;;;;;продолжить образование в другом вузе РФ (магистратура, аспирантура, 2-е высшее);;;;заниматься преподавательской деятельностью;;;;;;;;;не имею опыта работы;;;;;не имею опыта работы;4;;да;;"Фёдоровна А. Д.
Гатауллин Р. Г.";.;.;согласен(на);;часто;нет;;редко;да;.;.;да;;
1420296132;2023-06-22 19:59:56;3 курс бакалавриата / специалитета;Бак: Филология (английский язык и литература);;;наличие на факультете необходимого для меня направления подготовки (специальности);;;;;;;;;;затрудняюсь ответить;нет;нет;затрудняюсь ответить;7;английский;В1 – пороговый уровень (Threshold: Intermediate);B2 – пороговый продвинутый уровень (Vantage: Upper-Intermadiate);французский;отсутствовали навыки владения иностранным языком (нулевой уровень);A2 – предпороговый уровень (Waystage: Pre-Intermediate);третий язык не изучаю;;;другое:;Курсы;;;;;онлайн-занятия на языковых курсах / школе в другой организации;;;занятия с носителем изучаемого иностранного языка;;;;4;3;3;3;4;затрудняюсь ответить / не сталкивался;4;2;затрудняюсь ответить / не сталкивался;4;затрудняюсь ответить / не сталкивался;;4;4;4;4;5;4;4;;1;3;3;не проживаю;"Туалет ужасный в плане ремонта, освещения, удобств, всегда плохо пахнет 
В буфете видела тараканов, иногда пахло канализацией";не интересует;не интересует;не интересует;;4;;;;;продолжить образование на другом факультете УУНиТ (магистратура, аспирантура);;основать своё дело (бизнес);;;;;;;;;опыт работы НЕ по специальности (по трудовому договору);;;;;;;деятельность несвязанная с ИЯ;;4;;нет;;"Юлия Ханифовна
Войцех КД
Сальвадор ЛФ
Загира Габидулловна";Варуха - предвзятость и излишняя грубость в общении;Хадимуллин - низкая информативность, тесты давал онлайн 40 вопросов за 20 мин и пр., странное поведение порой, невозможность связи с ним, так как игнорировал;согласен(на);;редко;нет;;редко;да;"Практика разговора с носителями 
Просмотр видео и фильмов для прослушивания акцента";-;да;;
1420256584;2023-06-22 19:07:40;1 курс бакалавриата / специалитета;Бак: Филология (английский язык и литература, китайский язык);;;;;;;выбор был скорее случайным;;;;;;да;нет;нет;затрудняюсь ответить;7;английский;В1 – пороговый уровень (Threshold: Intermediate);В1 – пороговый уровень (Threshold: Intermediate);китайский;отсутствовали навыки владения иностранным языком (нулевой уровень);отсутствовали навыки владения иностранным языком (нулевой уровень);третий язык не изучаю;;;нет, дополнительными платными услугами для изучения ИЯ не пользовался(ась);;;;;;;занятия с репетитором из числа преподавателей ФРГФ;;;;;;1;5;2;1;5;5;2;1;1;1;1;;1;1;1;1;2;1;1;;1;1;1;не проживаю;;не интересует;не интересует;не интересует;;1;;работать за рубежом;;;;;;;;;;;;;;;;;не имею опыта работы;;;;;не имею опыта работы;1;;нет;;п;п;п;согласен(на);;никогда;нет;;редко;да;п;п;нет;;
1420214001;2023-06-22 18:12:01;1 курс бакалавриата / специалитета;Бак: Фундаментальная и прикладная лингвистика;приемлемая, доступная стоимость обучения в УУНиТ;;;;;;;;;;;;затрудняюсь ответить;затрудняюсь ответить;затрудняюсь ответить;да;8;английский;В1 – пороговый уровень (Threshold: Intermediate);B2 – пороговый продвинутый уровень (Vantage: Upper-Intermadiate);французский;отсутствовали навыки владения иностранным языком (нулевой уровень);отсутствовали навыки владения иностранным языком (нулевой уровень);третий язык не изучаю;;;нет, дополнительными платными услугами для изучения ИЯ не пользовался(ась);;;;;;;;;;;другое:;Не пользовалась;3;4;3;затрудняюсь ответить / не сталкивался;3;затрудняюсь ответить / не сталкивался;4;затрудняюсь ответить / не сталкивался;затрудняюсь ответить / не сталкивался;затрудняюсь ответить / не сталкивался;затрудняюсь ответить / не сталкивался;;4;3;4;5;5;3;3;;2;3;4;не проживаю;;4;3;4;;3;;работать за рубежом;;;;;;;;;;;другое:;Возможно, работать в другой сфере;;;;опыт работы НЕ по специальности (неофициально, без оформления);;;преподавание ИЯ (в т.ч. репетиторство);;деятельность несвязанная с ИЯ;;4;;нет;;"Корзун А.В. 
Варуха И.В.";Нет таких;Луценко В. И. Несобран, опаздывает;другое:;Пока не приходилось сталкиваться с этим;редко;нет;;редко;да;Всё норм;Нет;другое:;Сомневаюсь;
1420202422;2023-06-22 17:56:57;1 курс бакалавриата / специалитета;Бак: Филология (английский язык и литература, китайский язык);;;наличие на факультете необходимого для меня направления подготовки (специальности);;;;;;;;;;затрудняюсь ответить;да;да;затрудняюсь ответить;8;английский;C1 – уровень профессионального владения (Effective Operational Proficiency: Advanced);C1 – уровень профессионального владения (Effective Operational Proficiency: Advanced);китайский;отсутствовали навыки владения иностранным языком (нулевой уровень);A1 – уровень выживания (Survival level: Beginner and Elementary);третий язык не изучаю;;;нет, дополнительными платными услугами для изучения ИЯ не пользовался(ась);;;;;;;;;;подготовка к сдаче экзамена на сертификат, подтверждающий уровень знания иностранного языка;;;4;5;4;4;4;4;4;3;затрудняюсь ответить / не сталкивался;4;3;;5;4;4;4;5;4;5;;2;3;3;не проживаю;;5;5;5;;5;;работать за рубежом;продолжить обучение за рубежом;;;;основать своё дело (бизнес);;;;;;;;;;;опыт работы НЕ по специальности (неофициально, без оформления);;устный и письменный перевод;;;;;4;;нет;;Войцех К.В., Чванова И.В., Уразметова А.В., Алимбеков;Самигуллина - разное отношение к ученикам, постоянное выделение отдельных учеников;Таких нет;согласен(на);;редко;нет;;никогда;да;"Хотелось бы больше часов китайского языка; больше пространства и оборудования в здании, чтобы была возможность заниматься самоподготовкой; улучшение состояния туалетов";Нет;да;;
1420194421;2023-06-22 17:46:56;4 курс бакалавриата / специалитета;Бак: Филология (английский язык и литература);;;наличие на факультете необходимого для меня направления подготовки (специальности);;;;;;;практические соображения (близко от дома, доступная аренда жилья);;;затрудняюсь ответить;да;затрудняюсь ответить;затрудняюсь ответить;7;английский;В1 – пороговый уровень (Threshold: Intermediate);B2 – пороговый продвинутый уровень (Vantage: Upper-Intermadiate);французский;A2 – предпороговый уровень (Waystage: Pre-Intermediate);A2 – предпороговый уровень (Waystage: Pre-Intermediate);третий язык не изучаю;;;нет, дополнительными платными услугами для изучения ИЯ не пользовался(ась);;освоение программы дополнительного профессионального образования в УУНиТ;;;;;;;;;;;2;5;3;4;5;затрудняюсь ответить / не сталкивался;4;4;затрудняюсь ответить / не сталкивался;4;затрудняюсь ответить / не сталкивался;;4;4;5;5;5;4;2;;1;3;5;не проживаю;;не интересует;не интересует;не интересует;;4;;;продолжить обучение за рубежом;;;;основать своё дело (бизнес);;;;;;;;;;;;не имею опыта работы;;;;;не имею опыта работы;4;;нет;;.;.;.;согласен(на);;редко;нет;;редко;да;.;.;да;;
